FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9
14,C-1404,3BHK,2,26,24,22,20,18,16,14,12,10
14,C-1405,3BHK,2,26,24,22,20,18,16,14,12,10
14,C-1406,3BHK,2,26,24,22,20,18,16,14,12,10
14,C-1407,3BHK,2,26,24,22,20,18,16,14,12,10
14,C-1403,4BHK,3,26,24,22,20,18,16,14,12,10
15,C-1502,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1504,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1505,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1506,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1507,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1501,4BHK,3,28,26,24,22,20,18,16,14,12
15,C-1503,4BHK,3,28,26,24,22,20,18,16,14,12
16,C-1602,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1604,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1605,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1606,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1607,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1601,4BHK,3,30,28,26,24,22,20,18,16,14
16,C-1603,4BHK,3,30,28,26,24,22,20,18,16,14
17,C-1702,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1704,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1705,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1706,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1707,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1701,4BHK,3,32,30,28,26,24,22,20,18,16
17,C-1703,4BHK,3,32,30,28,26,24,22,20,18,16
18,C-1804,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1805,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1806,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1807,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1802,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1801,4BHK,3,34,32,30,28,26,24,22,20,18
18,C-1803,4BHK,3,34,32,30,28,26,24,22,20,18
19,C-1902,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1904,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1905,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1906,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1907,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1901,4BHK,3,36,34,32,30,28,26,24,22,20
19,C-1903,4BHK,3,36,34,32,30,28,26,24,22,20
20,C-2002,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2004,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2005,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2006,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2007,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2001,4BHK,3,38,36,34,32,30,28,26,24,22
20,C-2003,4BHK,3,38,36,34,32,30,28,26,24,22
21,C-2104,3BHK,2,40,38,36,34,32,30,28,26,24
21,C-2105,3BHK,2,40,38,36,34,32,30,28,26,24
21,C-2106,3BHK,2,40,38,36,34,32,30,28,26,24
21,C-2107,3BHK,2,40,38,36,34,32,30,28,26,24
21,C-2103,4BHK,3,40,38,36,34,32,30,28,26,24
22,C-2202,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2204,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2205,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2206,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2207,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2201,4BHK,3,42,40,38,36,34,32,30,28,26
22,C-2203,4BHK,3,42,40,38,36,34,32,30,28,26
23,C-2302,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2304,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2305,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2306,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2307,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2301,4BHK,3,44,42,40,38,36,34,32,30,28
23,C-2303,4BHK,3,44,42,40,38,36,34,32,30,28
24,C-2402,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2404,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2405,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2406,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2407,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2401,4BHK,3,46,44,42,40,38,36,34,32,30
24,C-2403,4BHK,3,46,44,42,40,38,36,34,32,30
25,C-2502,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2504,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2505,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2506,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2507,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2501,4BHK,3,48,46,44,42,40,38,36,34,32
25,C-2503,4BHK,3,48,46,44,42,40,38,36,34,32
26,C-2602,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2604,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2605,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2606,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2607,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2601,4BHK,3,50,48,46,44,42,40,38,36,34
26,C-2603,4BHK,3,50,48,46,44,42,40,38,36,34
27,C-2702,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2704,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2705,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2706,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2707,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2701,4BHK,3,52,50,48,46,44,42,40,38,36
27,C-2703,4BHK,3,52,50,48,46,44,42,40,38,36
28,C-2804,3BHK,2,54,52,50,48,46,44,42,40,38
28,C-2805,3BHK,2,54,52,50,48,46,44,42,40,38
28,C-2806,3BHK,2,54,52,50,48,46,44,42,40,38
28,C-2807,3BHK,2,54,52,50,48,46,44,42,40,38
28,C-2803,4BHK,3,54,52,50,48,46,44,42,40,38
29,C-2902,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2904,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2905,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2906,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2907,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2901,4BHK,3,56,54,52,50,48,46,44,42,40
29,C-2903,4BHK,3,56,54,52,50,48,46,44,42,40
30,C-3002,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3004,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3005,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3006,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3007,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3001,4BHK,3,58,56,54,52,50,48,46,44,42
30,C-3003,4BHK,3,58,56,54,52,50,48,46,44,42
31,C-3107,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3102,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3104,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3105,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3106,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3101,4BHK,3,60,58,56,54,52,50,48,46,44
31,C-3103,4BHK,3,60,58,56,54,52,50,48,46,44
32,C-3202,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3204,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3205,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3206,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3207,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3201,4BHK,3,62,60,58,56,54,52,50,48,46
32,C-3203,4BHK,3,62,60,58,56,54,52,50,48,46
33,C-3302,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3304,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3305,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3306,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3307,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3301,4BHK,3,64,62,60,58,56,54,52,50,48
33,C-3303,4BHK,3,64,62,60,58,56,54,52,50,48
34,C-3402,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3404,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3405,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3406,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3407,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3401,4BHK,3,66,64,62,60,58,56,54,52,50
34,C-3403,4BHK,3,66,64,62,60,58,56,54,52,50
