FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9,Rank,Unique_flat_No
14,C-1404,3BHK,2,26,24,22,20,18,16,14,12,10,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1404"
14,C-1404,3BHK,2,26,24,22,20,18,16,14,12,10,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1404"
14,C-1405,3BHK,2,26,24,22,20,18,16,14,12,10,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1405"
14,C-1405,3BHK,2,26,24,22,20,18,16,14,12,10,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1405"
14,C-1406,3BHK,2,26,24,22,20,18,16,14,12,10,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1406"
14,C-1406,3BHK,2,26,24,22,20,18,16,14,12,10,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1406"
14,C-1407,3BHK,2,26,24,22,20,18,16,14,12,10,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1407"
14,C-1407,3BHK,2,26,24,22,20,18,16,14,12,10,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1407"
14,C-1403,4BHK,3,26,24,22,20,18,16,14,12,10,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1403"
14,C-1403,4BHK,3,26,24,22,20,18,16,14,12,10,2,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1403"
14,C-1403,4BHK,3,26,24,22,20,18,16,14,12,10,3,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1403"
15,C-1502,3BHK,2,28,26,24,22,20,18,16,14,12,1,"0      1
1      2
2      1
3      2
4      1
      ..
788    2
789    3
790    1
791    2
792    3
Name: Rank, Length: 793, dtype: int64_C-1502"
