Row,Col,Value
0,10,434
1,9,429
2,8,414
3,7,399
4,6,384
5,5,369
6,4,354
7,3,339
8,2,324
9,0,294
10,1,309
11,12,466
12,13,481
13,14,496
14,15,511
15,16,526
16,17,541
17,18,556
18,19,571
19,20,576
20,11,451
21,21,591
22,22,606
23,23,621
24,24,636
25,25,651
26,26,666
27,28,698
28,29,713
29,30,718
30,31,733
31,32,748
32,33,763
33,34,778
34,35,793
35,36,808
36,27,683
37,37,823
38,38,838
39,39,853
40,40,858
41,41,873
42,42,888
43,44,920
44,45,935
45,46,950
46,47,965
47,48,980
48,49,995
49,50,1020
50,51,1035
51,52,1050
52,43,905
53,53,1065
54,54,1080
55,55,1095
56,56,1110
57,57,1125
58,58,1140
59,60,1182
60,61,1197
61,62,1212
62,63,1227
63,64,1242
64,65,1257
65,66,1272
66,67,1287
67,68,1302
68,59,1157
69,69,1317
70,70,1342
71,71,1357
72,72,1372
73,73,1387
74,74,1402
75,76,1434
76,77,1449
77,78,1464
78,79,1479
79,89,420
80,90,435
81,91,450
82,92,465
83,93,480
84,75,1419
85,94,495
86,95,510
87,96,525
88,97,540
89,98,555
90,99,560
91,101,592
92,102,607
93,103,622
94,104,637
95,105,652
96,106,667
97,107,682
98,108,697
99,109,702
100,100,577
101,110,717
102,111,732
103,112,747
104,113,762
105,114,777
106,115,792
107,117,824
108,118,839
109,119,844
110,120,859
111,121,874
112,122,889
113,123,904
114,124,919
115,125,934
116,116,809
117,126,949
118,128,981
119,129,986
120,130,1001
121,131,1016
122,132,1031
123,133,1046
124,134,1061
125,135,1076
126,136,1091
127,127,966
128,137,1106
129,138,1121
130,139,1146
131,140,1161
132,141,1176
133,142,1191
134,144,1223
135,145,1238
136,146,1253
137,147,1268
138,148,1283
139,149,1308
140,150,1323
141,151,1338
142,152,1353
143,143,1208
144,153,1368
145,154,1383
146,155,1398
147,156,1413
148,157,1428
149,158,1443
150,160,1485
151,161,1500
152,80,1514
153,162,1515
154,81,1529
155,163,1530
156,82,1544
157,164,1545
158,83,1559
159,159,1470
160,165,1560
161,84,1574
162,166,1575
163,85,1589
164,167,1590
165,86,1604
166,87,1621
167,169,1632
168,178,490
169,179,505
170,180,520
171,181,535
172,182,550
173,183,565
174,184,580
175,168,1607
176,185,595
177,186,610
178,187,625
179,188,630
180,189,645
181,190,660
182,192,692
183,193,707
184,194,722
185,195,737
186,196,752
187,197,767
188,198,772
189,199,787
190,200,802
191,191,677
192,201,817
193,202,832
194,203,847
195,204,862
196,205,877
197,206,892
198,208,914
199,209,929
200,210,944
201,211,959
202,212,974
203,213,989
204,214,1004
205,215,1019
206,216,1034
207,207,909
208,217,1049
209,218,1054
210,219,1069
211,220,1084
212,221,1099
213,222,1114
214,224,1146
215,225,1161
216,226,1176
217,227,1191
218,228,1216
219,229,1231
220,230,1246
221,231,1261
222,232,1276
223,223,1131
224,233,1291
225,235,1323
226,236,1338
227,237,1353
228,238,1378
229,239,1393
230,240,1408
231,241,1423
232,242,1438
233,243,1453
234,234,1308
235,244,1468
236,245,1483
237,246,1498
238,247,1513
239,248,1538
240,249,1553
241,251,1585
242,252,1600
243,253,1615
244,254,1630
245,255,1645
246,88,1646
247,170,1657
248,256,1660
249,171,1672
250,250,1570
251,257,1675
252,172,1687
253,258,1700
254,173,1702
255,259,1715
256,174,1717
257,267,560
258,268,575
259,269,590
260,270,605
261,271,620
262,272,635
263,273,650
264,274,665
265,275,680
266,260,1732
267,276,695
268,277,700
269,278,715
270,279,730
271,280,745
272,281,760
273,283,792
274,284,807
275,285,822
276,286,837
277,287,842
