FloorNo,FlatNo,Typology,NoOfParkings,Time_To_Podium_1,Time_To_Podium_2,Time_To_Podium_3,Time_To_Podium_4,Time_To_Podium_5,Time_To_Podium_6,Time_To_Podium_7,Time_To_Podium_8,Time_To_Podium_9
14,C-1401,3BHK,2,26,24,22,20,18,16,14,12,10
14,C-1402,3BHK,2,26,24,22,20,18,16,14,12,10
14,C-1403,3BHK,2,26,24,22,20,18,16,14,12,10
14,C-1404,4BHK,3,26,24,22,20,18,16,14,12,10
15,C-1501,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1502,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1503,3BHK,2,28,26,24,22,20,18,16,14,12
15,C-1504,4BHK,3,28,26,24,22,20,18,16,14,12
16,C-1601,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1602,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1603,3BHK,2,30,28,26,24,22,20,18,16,14
16,C-1604,4BHK,3,30,28,26,24,22,20,18,16,14
17,C-1701,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1702,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1703,3BHK,2,32,30,28,26,24,22,20,18,16
17,C-1704,4BHK,3,32,30,28,26,24,22,20,18,16
18,C-1801,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1802,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1803,3BHK,2,34,32,30,28,26,24,22,20,18
18,C-1804,4BHK,3,34,32,30,28,26,24,22,20,18
19,C-1901,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1902,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1903,3BHK,2,36,34,32,30,28,26,24,22,20
19,C-1904,4BHK,3,36,34,32,30,28,26,24,22,20
20,C-2001,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2002,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2003,3BHK,2,38,36,34,32,30,28,26,24,22
20,C-2004,4BHK,3,38,36,34,32,30,28,26,24,22
21,C-2101,3BHK,2,40,38,36,34,32,30,28,26,24
21,C-2102,3BHK,2,40,38,36,34,32,30,28,26,24
21,C-2103,3BHK,2,40,38,36,34,32,30,28,26,24
21,C-2104,4BHK,3,40,38,36,34,32,30,28,26,24
22,C-2201,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2202,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2203,3BHK,2,42,40,38,36,34,32,30,28,26
22,C-2204,4BHK,3,42,40,38,36,34,32,30,28,26
23,C-2301,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2302,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2303,3BHK,2,44,42,40,38,36,34,32,30,28
23,C-2304,4BHK,3,44,42,40,38,36,34,32,30,28
24,C-2401,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2402,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2403,3BHK,2,46,44,42,40,38,36,34,32,30
24,C-2404,4BHK,3,46,44,42,40,38,36,34,32,30
25,C-2501,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2502,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2503,3BHK,2,48,46,44,42,40,38,36,34,32
25,C-2504,4BHK,3,48,46,44,42,40,38,36,34,32
26,C-2601,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2602,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2603,3BHK,2,50,48,46,44,42,40,38,36,34
26,C-2604,4BHK,3,50,48,46,44,42,40,38,36,34
27,C-2701,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2702,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2703,3BHK,2,52,50,48,46,44,42,40,38,36
27,C-2704,4BHK,3,52,50,48,46,44,42,40,38,36
28,C-2801,3BHK,2,54,52,50,48,46,44,42,40,38
28,C-2802,3BHK,2,54,52,50,48,46,44,42,40,38
28,C-2803,3BHK,2,54,52,50,48,46,44,42,40,38
28,C-2804,4BHK,3,54,52,50,48,46,44,42,40,38
29,C-2901,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2902,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2903,3BHK,2,56,54,52,50,48,46,44,42,40
29,C-2904,4BHK,3,56,54,52,50,48,46,44,42,40
30,C-3001,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3002,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3003,3BHK,2,58,56,54,52,50,48,46,44,42
30,C-3004,4BHK,3,58,56,54,52,50,48,46,44,42
31,C-3101,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3102,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3103,3BHK,2,60,58,56,54,52,50,48,46,44
31,C-3104,4BHK,3,60,58,56,54,52,50,48,46,44
32,C-3201,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3202,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3203,3BHK,2,62,60,58,56,54,52,50,48,46
32,C-3204,4BHK,3,62,60,58,56,54,52,50,48,46
33,C-3301,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3302,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3303,3BHK,2,64,62,60,58,56,54,52,50,48
33,C-3304,4BHK,3,64,62,60,58,56,54,52,50,48
34,C-3401,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3402,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3403,3BHK,2,66,64,62,60,58,56,54,52,50
34,C-3404,4BHK,3,66,64,62,60,58,56,54,52,50
35,C-3501,3BHK,2,68,66,64,62,60,58,56,54,52
35,C-3502,3BHK,2,68,66,64,62,60,58,56,54,52
35,C-3503,3BHK,2,68,66,64,62,60,58,56,54,52
35,C-3504,4BHK,3,68,66,64,62,60,58,56,54,52
36,C-3601,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3602,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3603,3BHK,2,70,68,66,64,62,60,58,56,54
36,C-3604,4BHK,3,70,68,66,64,62,60,58,56,54
37,C-3701,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3702,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3703,3BHK,2,72,70,68,66,64,62,60,58,56
37,C-3704,4BHK,3,72,70,68,66,64,62,60,58,56
38,C-3801,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3802,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3803,3BHK,2,74,72,70,68,66,64,62,60,58
38,C-3804,4BHK,3,74,72,70,68,66,64,62,60,58
39,C-3901,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3902,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3903,3BHK,2,76,74,72,70,68,66,64,62,60
39,C-3904,4BHK,3,76,74,72,70,68,66,64,62,60
40,C-4001,3BHK,2,60,62,64,66,68,70,72,74,76
40,C-4002,3BHK,2,60,62,64,66,68,70,72,74,76
40,C-4003,3BHK,2,60,62,64,66,68,70,72,74,76
40,C-4004,4BHK,3,60,62,64,66,68,70,72,74,76
41,C-4101,3BHK,2,58,60,62,64,66,68,70,72,74
41,C-4102,3BHK,2,58,60,62,64,66,68,70,72,74
41,C-4103,3BHK,2,58,60,62,64,66,68,70,72,74
41,C-4104,4BHK,3,58,60,62,64,66,68,70,72,74
42,C-4201,3BHK,2,56,58,60,62,64,66,68,70,72
42,C-4202,3BHK,2,56,58,60,62,64,66,68,70,72
42,C-4203,3BHK,2,56,58,60,62,64,66,68,70,72
42,C-4204,4BHK,3,56,58,60,62,64,66,68,70,72
43,C-4301,3BHK,2,54,56,58,60,62,64,66,68,70
43,C-4302,3BHK,2,54,56,58,60,62,64,66,68,70
43,C-4303,3BHK,2,54,56,58,60,62,64,66,68,70
43,C-4304,4BHK,3,54,56,58,60,62,64,66,68,70
44,C-4401,3BHK,2,52,54,56,58,60,62,64,66,68
44,C-4402,3BHK,2,52,54,56,58,60,62,64,66,68
44,C-4403,3BHK,2,52,54,56,58,60,62,64,66,68
44,C-4404,4BHK,3,52,54,56,58,60,62,64,66,68
45,C-4501,3BHK,2,50,52,54,56,58,60,62,64,66
45,C-4502,3BHK,2,50,52,54,56,58,60,62,64,66
45,C-4503,3BHK,2,50,52,54,56,58,60,62,64,66
45,C-4504,4BHK,3,50,52,54,56,58,60,62,64,66
46,C-4601,3BHK,2,48,50,52,54,56,58,60,62,64
46,C-4602,3BHK,2,48,50,52,54,56,58,60,62,64
46,C-4603,3BHK,2,48,50,52,54,56,58,60,62,64
46,C-4604,4BHK,3,48,50,52,54,56,58,60,62,64
47,C-4701,3BHK,2,46,48,50,52,54,56,58,60,62
47,C-4702,3BHK,2,46,48,50,52,54,56,58,60,62
47,C-4703,3BHK,2,46,48,50,52,54,56,58,60,62
47,C-4704,4BHK,3,46,48,50,52,54,56,58,60,62
48,C-4801,3BHK,2,44,46,48,50,52,54,56,58,60
48,C-4802,3BHK,2,44,46,48,50,52,54,56,58,60
48,C-4803,3BHK,2,44,46,48,50,52,54,56,58,60
48,C-4804,4BHK,3,44,46,48,50,52,54,56,58,60
49,C-4901,3BHK,2,42,44,46,48,50,52,54,56,58
49,C-4902,3BHK,2,42,44,46,48,50,52,54,56,58
49,C-4903,3BHK,2,42,44,46,48,50,52,54,56,58
49,C-4904,4BHK,3,42,44,46,48,50,52,54,56,58
50,C-5001,3BHK,2,40,42,44,46,48,50,52,54,56
50,C-5002,3BHK,2,40,42,44,46,48,50,52,54,56
50,C-5003,3BHK,2,40,42,44,46,48,50,52,54,56
50,C-5004,4BHK,3,40,42,44,46,48,50,52,54,56
51,C-5101,3BHK,2,38,40,42,44,46,48,50,52,54
51,C-5102,3BHK,2,38,40,42,44,46,48,50,52,54
51,C-5103,3BHK,2,38,40,42,44,46,48,50,52,54
51,C-5104,4BHK,3,38,40,42,44,46,48,50,52,54
52,C-5201,3BHK,2,36,38,40,42,44,46,48,50,52
52,C-5202,3BHK,2,36,38,40,42,44,46,48,50,52
52,C-5203,3BHK,2,36,38,40,42,44,46,48,50,52
52,C-5204,4BHK,3,36,38,40,42,44,46,48,50,52
53,C-5301,3BHK,2,34,36,38,40,42,44,46,48,50
53,C-5302,3BHK,2,34,36,38,40,42,44,46,48,50
53,C-5303,3BHK,2,34,36,38,40,42,44,46,48,50
